Date;Open;High;Low;Close*;Adj Close**;Volume
Dec 27, 2021;76.30;79.06;75.76;78.60;78.60;15,723
Dec 23, 2021;75.67;76.98;74.79;76.85;76.85;27,624
Dec 22, 2021;74.04;75.69;73.59;75.29;75.29;28,541
Dec 21, 2021;72.10;74.26;71.24;73.98;73.98;27,386
Dec 20, 2021;73.06;73.07;69.26;71.52;71.52;36,842
Dec 17, 2021;74.51;74.96;72.62;73.52;73.52;26,087
Dec 16, 2021;74.57;75.59;74.00;75.02;75.02;26,965
Dec 15, 2021;73.26;74.57;72.48;73.88;73.88;29,294
Dec 14, 2021;74.30;75.15;72.57;73.70;73.70;31,237
Dec 13, 2021;75.54;76.39;74.19;74.39;74.39;27,562
Dec 10, 2021;74.10;75.70;73.80;75.15;75.15;24,682
Dec 09, 2021;76.02;76.70;73.83;74.42;74.42;27,715
Dec 08, 2021;75.27;76.37;74.40;75.82;75.82;31,08
Dec 07, 2021;73.54;76.26;73.23;75.44;75.44;34,533
Dec 06, 2021;70.30;73.78;70.29;73.08;73.08;32,294
Dec 03, 2021;70.50;72.60;69.23;69.88;69.88;43,639
Dec 02, 2021;68.81;70.71;65.77;69.67;69.67;81,072
Dec 01, 2021;70.14;72.86;68.15;68.87;68.87;56,808
Nov 30, 2021;74.57;74.57;70.22;70.57;70.57;77,84
Nov 29, 2021;73.59;77.00;72.64;73.44;73.44;12,507
Nov 26, 2021;82.27;82.56;72.11;72.72;72.72;29,171
Nov 25, 2021;82.27;82.56;81.70;82.28;82.28;30,734
Nov 24, 2021;82.20;83.00;81.64;82.25;82.25;30,734
Nov 23, 2021;79.42;82.59;78.57;82.31;82.31;41,865
Nov 22, 2021;78.67;80.09;77.54;79.70;79.70;39,085
Nov 19, 2021;81.01;82.23;78.05;78.89;78.89;44,18
Nov 18, 2021;80.28;81.42;79.27;81.24;81.24;30,49
Nov 17, 2021;82.33;82.36;79.77;80.28;80.28;38,038
Nov 16, 2021;82.11;83.14;81.55;82.43;82.43;25,767
Nov 15, 2021;81.92;82.49;80.68;82.05;82.05;32,804
Nov 12, 2021;82.67;82.87;81.26;82.17;82.17;27,167
Nov 11, 2021;82.64;83.43;81.66;82.87;82.87;31,162
Nov 10, 2021;85.16;85.50;82.09;82.64;82.64;36,273
Nov 09, 2021;83.59;85.14;83.18;84.78;84.78;34,996
Nov 08, 2021;82.57;83.99;82.50;83.43;83.43;27,655
Nov 04, 2021;81.00;83.15;80.27;82.74;82.74;43,13
